t,p,tf,noise_percentage
7,7,1,20
14,14,1,20
3,3,1,20
1,1,1,20
2,2,1,20
1,1,1,20
5,1,0,20
7,7,1,20
14,14,1,20
13,13,1,20
7,7,1,20
3,3,1,20
2,2,1,20
7,7,1,20
12,12,1,20
9,9,1,20
11,11,1,20
9,9,1,20
6,10,0,20
6,7,0,20
9,9,1,20
10,10,1,20
13,13,1,20
9,9,1,20
14,14,1,20
12,12,1,20
4,4,1,20
3,3,1,20
4,4,1,20
5,5,1,20
8,8,1,20
0,0,1,20
3,9,0,20
5,5,1,20
0,0,1,20
4,4,1,20
5,5,1,20
5,5,1,20
12,12,1,20
0,0,1,20
13,13,1,20
14,14,1,20
0,0,1,20
6,7,0,20
5,5,1,20
6,9,0,20
13,13,1,20
6,6,1,20
9,9,1,20
10,9,0,20
11,11,1,20
0,0,1,20
0,0,1,20
9,9,1,20
10,10,1,20
11,11,1,20
3,3,1,20
7,7,1,20
11,11,1,20
10,10,1,20
14,12,0,20
7,7,1,20
10,2,0,20
7,7,1,20
14,14,1,20
14,14,1,20
9,9,1,20
11,11,1,20
11,11,1,20
2,2,1,20
11,11,1,20
10,10,1,20
8,1,0,20
12,12,1,20
6,10,0,20
8,8,1,20
12,12,1,20
3,3,1,20
8,8,1,20
4,4,1,20
14,12,0,20
2,2,1,20
3,3,1,20
0,0,1,20
7,7,1,20
4,4,1,20
5,5,1,20
7,7,1,20
8,8,1,20
6,11,0,20
2,2,1,20
2,2,1,20
14,14,1,20
14,14,1,20
5,5,1,20
1,1,1,20
4,4,1,20
1,1,1,20
4,4,1,20
14,9,0,20
3,3,1,20
10,10,1,20
11,11,1,20
2,2,1,20
12,12,1,20
11,11,1,20
6,6,1,20
13,13,1,20
12,12,1,20
2,2,1,20
14,4,0,20
3,3,1,20
9,9,1,20
11,11,1,20
14,14,1,20
4,4,1,20
3,3,1,20
8,8,1,20
12,12,1,20
14,12,0,20
5,5,1,20
11,11,1,20
7,7,1,20
10,10,1,20
3,3,1,20
1,1,1,20
8,8,1,20
5,5,1,20
7,7,1,20
9,9,1,20
2,2,1,20
5,5,1,20
9,9,1,20
9,9,1,20
8,8,1,20
1,1,1,20
9,9,1,20
13,13,1,20
8,8,1,20
8,8,1,20
13,13,1,20
0,0,1,20
0,0,1,20
10,10,1,20
6,12,0,20
13,13,1,20
3,3,1,20
1,1,1,20
1,1,1,20
1,1,1,20
7,11,0,20
8,8,1,20
5,5,1,20
11,11,1,20
7,7,1,20
4,4,1,20
11,11,1,20
5,5,1,20
4,4,1,20
13,13,1,20
0,0,1,20
2,9,0,20
8,8,1,20
3,12,0,20
8,12,0,20
9,9,1,20
6,6,1,20
9,9,1,20
8,8,1,20
11,11,1,20
1,1,1,20
0,0,1,20
13,13,1,20
11,11,1,20
8,8,1,20
4,4,1,20
1,1,1,20
10,10,1,20
2,2,1,20
3,3,1,20
6,6,1,20
11,11,1,20
12,12,1,20
14,14,1,20
11,11,1,20
8,8,1,20
7,7,1,20
8,8,1,20
10,10,1,20
7,7,1,20
13,13,1,20
8,8,1,20
12,12,1,20
14,14,1,20
6,12,0,20
10,10,1,20
6,9,0,20
0,0,1,20
11,11,1,20
0,0,1,20
2,2,1,20
1,1,1,20
9,9,1,20
3,3,1,20
1,1,1,20
8,8,1,20
7,7,1,20
13,13,1,20
6,10,0,20
1,1,1,20
8,8,1,20
14,14,1,20
13,13,1,20
6,6,1,20
4,4,1,20
6,10,0,20
6,6,1,20
8,8,1,20
2,2,1,20
0,0,1,20
6,6,1,20
3,9,0,20
12,12,1,20
11,11,1,20
1,1,1,20
9,9,1,20
8,8,1,20
14,14,1,20
1,1,1,20
10,10,1,20
3,9,0,20
13,13,1,20
4,4,1,20
7,7,1,20
9,9,1,20
5,5,1,20
5,5,1,20
6,9,0,20
13,13,1,20
14,14,1,20
8,8,1,20
1,1,1,20
6,11,0,20
13,13,1,20
2,2,1,20
5,5,1,20
2,2,1,20
0,0,1,20
1,1,1,20
3,3,1,20
3,3,1,20
0,1,0,20
11,11,1,20
6,4,0,20
2,2,1,20
1,1,1,20
1,1,1,20
3,3,1,20
2,2,1,20
13,13,1,20
9,9,1,20
5,5,1,20
11,11,1,20
6,10,0,20
11,11,1,20
3,3,1,20
0,0,1,20
9,9,1,20
9,9,1,20
7,7,1,20
1,1,1,20
10,10,1,20
0,0,1,20
14,12,0,20
13,13,1,20
2,2,1,20
11,11,1,20
8,8,1,20
13,13,1,20
13,13,1,20
12,12,1,20
4,4,1,20
11,11,1,20
13,13,1,20
0,0,1,20
10,10,1,20
1,1,1,20
7,7,1,20
12,12,1,20
2,2,1,20
8,8,1,20
2,2,1,20
14,14,1,20
2,2,1,20
4,4,1,20
6,6,1,20
14,12,0,20
14,14,1,20
3,3,1,20
2,2,1,20
3,12,0,20
1,1,1,20
14,14,1,20
14,14,1,20
12,12,1,20
6,6,1,20
0,0,1,20
3,3,1,20
10,10,1,20
3,1,0,20
12,12,1,20
12,12,1,20
8,8,1,20
8,8,1,20
13,13,1,20
14,14,1,20
12,12,1,20
12,12,1,20
10,10,1,20
0,0,1,20
5,5,1,20
0,0,1,20
11,11,1,20
6,6,1,20
8,8,1,20
9,9,1,20
4,4,1,20
5,5,1,20
4,4,1,20
12,12,1,20
9,9,1,20
5,12,0,20
11,11,1,20
8,8,1,20
6,6,1,20
12,12,1,20
9,9,1,20
8,8,1,20
9,9,1,20
12,12,1,20
10,10,1,20
6,11,0,20
12,12,1,20
11,11,1,20
7,7,1,20
13,13,1,20
11,11,1,20
7,7,1,20
12,12,1,20
9,9,1,20
11,11,1,20
6,6,1,20
11,11,1,20
7,7,1,20
10,10,1,20
9,9,1,20
14,14,1,20
12,12,1,20
8,8,1,20
0,1,0,20
5,5,1,20
0,0,1,20
8,8,1,20
6,6,1,20
2,2,1,20
12,12,1,20
1,1,1,20
1,1,1,20
11,11,1,20
0,0,1,20
11,11,1,20
2,2,1,20
10,10,1,20
6,10,0,20
14,14,1,20
11,11,1,20
8,8,1,20
4,4,1,20
14,12,0,20
3,12,0,20
4,4,1,20
3,9,0,20
4,4,1,20
13,13,1,20
12,12,1,20
11,11,1,20
11,11,1,20
10,10,1,20
9,9,1,20
10,10,1,20
10,10,1,20
2,2,1,20
7,7,1,20
2,2,1,20
5,12,0,20
10,10,1,20
1,12,0,20
13,13,1,20
11,11,1,20
11,11,1,20
5,5,1,20
7,7,1,20
2,2,1,20
14,14,1,20
7,7,1,20
8,8,1,20
1,1,1,20
8,8,1,20
1,1,1,20
4,4,1,20
0,0,1,20
10,10,1,20
5,5,1,20
8,8,1,20
0,0,1,20
6,10,0,20
8,8,1,20
13,13,1,20
3,3,1,20
14,14,1,20
3,9,0,20
2,2,1,20
14,14,1,20
1,1,1,20
12,12,1,20
12,12,1,20
3,3,1,20
13,13,1,20
8,8,1,20
13,13,1,20
4,4,1,20
9,9,1,20
9,9,1,20
4,4,1,20
2,2,1,20
0,0,1,20
3,3,1,20
14,14,1,20
5,5,1,20
14,12,0,20
3,3,1,20
11,11,1,20
9,9,1,20
13,13,1,20
5,5,1,20
2,2,1,20
2,2,1,20
10,9,0,20
5,12,0,20
13,13,1,20
11,11,1,20
12,12,1,20
13,8,0,20
13,13,1,20
4,4,1,20
4,4,1,20
2,2,1,20
14,14,1,20
2,2,1,20
4,4,1,20
8,8,1,20
1,1,1,20
6,6,1,20
9,9,1,20
10,10,1,20
10,10,1,20
9,9,1,20
2,2,1,20
7,7,1,20
14,14,1,20
13,13,1,20
8,8,1,20
4,4,1,20
6,6,1,20
12,12,1,20
1,1,1,20
5,5,1,20
2,2,1,20
8,8,1,20
14,12,0,20
8,8,1,20
12,12,1,20
3,3,1,20
1,1,1,20
0,0,1,20
7,7,1,20
3,3,1,20
5,5,1,20
9,9,1,20
13,13,1,20
14,14,1,20
3,9,0,20
4,4,1,20
4,4,1,20
2,2,1,20
5,5,1,20
12,12,1,20
7,7,1,20
12,12,1,20
14,14,1,20
9,9,1,20
9,9,1,20
4,4,1,20
14,14,1,20
10,10,1,20
1,1,1,20
14,14,1,20
5,5,1,20
2,2,1,20
12,12,1,20
11,11,1,20
12,12,1,20
2,9,0,20
1,1,1,20
6,12,0,20
12,12,1,20
11,11,1,20
0,0,1,20
7,7,1,20
0,0,1,20
2,2,1,20
12,12,1,20
14,14,1,20
5,5,1,20
5,5,1,20
12,12,1,20
5,5,1,20
0,9,0,20
2,2,1,20
11,11,1,20
2,2,1,20
8,8,1,20
3,1,0,20
13,13,1,20
3,3,1,20
11,11,1,20
10,10,1,20
8,8,1,20
0,9,0,20
3,3,1,20
0,0,1,20
12,12,1,20
13,13,1,20
5,5,1,20
3,3,1,20
2,2,1,20
4,4,1,20
6,6,1,20
3,3,1,20
11,11,1,20
4,4,1,20
5,5,1,20
14,14,1,20
4,4,1,20
2,2,1,20
9,9,1,20
0,0,1,20
7,7,1,20
2,2,1,20
6,7,0,20
2,2,1,20
14,12,0,20
6,10,0,20
2,2,1,20
2,2,1,20
7,7,1,20
9,9,1,20
11,11,1,20
7,7,1,20
13,13,1,20
11,11,1,20
12,12,1,20
7,7,1,20
5,5,1,20
2,2,1,20
13,2,0,20
7,7,1,20
11,11,1,20
2,9,0,20
5,5,1,20
8,8,1,20
1,1,1,20
6,6,1,20
1,1,1,20
10,10,1,20
5,5,1,20
4,4,1,20
9,9,1,20
13,13,1,20
13,13,1,20
1,1,1,20
12,12,1,20
14,10,0,20
4,4,1,20
0,0,1,20
7,7,1,20
10,10,1,20
10,10,1,20
9,9,1,20
14,7,0,20
13,13,1,20
12,12,1,20
7,7,1,20
13,13,1,20
5,5,1,20
0,0,1,20
3,3,1,20
5,5,1,20
5,5,1,20
1,1,1,20
5,5,1,20
0,0,1,20
8,8,1,20
13,13,1,20
7,7,1,20
0,0,1,20
3,10,0,20
4,4,1,20
0,0,1,20
12,12,1,20
7,7,1,20
4,4,1,20
7,7,1,20
9,9,1,20
13,13,1,20
2,2,1,20
0,1,0,20
8,8,1,20
12,12,1,20
11,11,1,20
10,10,1,20
10,10,1,20
9,9,1,20
10,9,0,20
2,2,1,20
1,1,1,20
5,5,1,20
8,8,1,20
3,3,1,20
3,3,1,20
2,2,1,20
9,9,1,20
2,2,1,20
13,13,1,20
5,5,1,20
13,13,1,20
6,12,0,20
12,12,1,20
0,0,1,20
1,1,1,20
0,0,1,20
8,8,1,20
4,4,1,20
5,5,1,20
9,9,1,20
10,10,1,20
2,9,0,20
3,3,1,20
6,6,1,20
12,12,1,20
3,3,1,20
7,7,1,20
5,5,1,20
13,13,1,20
10,10,1,20
8,8,1,20
11,11,1,20
1,1,1,20
5,5,1,20
7,7,1,20
3,3,1,20
2,2,1,20
10,10,1,20
0,0,1,20
0,0,1,20
10,10,1,20
10,10,1,20
7,7,1,20
1,1,1,20
12,12,1,20
4,4,1,20
5,5,1,20
14,12,0,20
0,0,1,20
1,1,1,20
13,11,0,20
5,12,0,20
8,8,1,20
13,13,1,20
13,13,1,20
8,8,1,20
11,11,1,20
9,9,1,20
2,2,1,20
12,12,1,20
11,11,1,20
4,4,1,20
6,9,0,20
7,7,1,20
4,4,1,20
4,4,1,20
2,2,1,20
10,10,1,20
3,3,1,20
10,10,1,20
1,1,1,20
14,14,1,20
2,2,1,20
0,0,1,20
11,11,1,20
8,8,1,20
12,12,1,20
10,10,1,20
1,1,1,20
8,8,1,20
0,0,1,20
9,9,1,20
10,10,1,20
5,5,1,20
12,12,1,20
5,5,1,20
0,0,1,20
2,2,1,20
13,13,1,20
0,0,1,20
13,13,1,20
11,11,1,20
3,9,0,20
1,1,1,20
3,3,1,20
11,11,1,20
1,1,1,20
1,1,1,20
10,10,1,20
0,0,1,20
1,1,1,20
12,12,1,20
0,0,1,20
11,11,1,20
7,7,1,20
11,11,1,20
2,2,1,20
14,14,1,20
9,9,1,20
13,13,1,20
2,2,1,20
10,10,1,20
4,4,1,20
6,12,0,20
14,14,1,20
4,4,1,20
11,11,1,20
8,8,1,20
2,2,1,20
13,13,1,20
7,7,1,20
11,11,1,20
6,9,0,20
13,11,0,20
7,7,1,20
11,11,1,20
11,11,1,20
11,11,1,20
4,4,1,20
1,1,1,20
14,12,0,20
9,9,1,20
1,1,1,20
12,12,1,20
8,8,1,20
9,9,1,20
2,2,1,20
2,2,1,20
14,14,1,20
10,10,1,20
5,5,1,20
3,3,1,20
9,9,1,20
8,8,1,20
12,12,1,20
1,1,1,20
13,13,1,20
14,10,0,20
10,10,1,20
3,9,0,20
13,13,1,20
3,3,1,20
12,12,1,20
2,2,1,20
7,7,1,20
0,9,0,20
3,3,1,20
1,1,1,20
7,7,1,20
13,13,1,20
2,2,1,20
3,3,1,20
11,11,1,20
7,7,1,20
14,9,0,20
11,11,1,20
11,11,1,20
7,7,1,20
7,7,1,20
3,3,1,20
10,10,1,20
0,0,1,20
6,10,0,20
1,1,1,20
3,3,1,20
12,12,1,20
2,2,1,20
11,11,1,20
5,5,1,20
10,10,1,20
14,14,1,20
13,13,1,20
0,1,0,20
13,13,1,20
6,6,1,20
10,10,1,20
1,1,1,20
14,14,1,20
7,7,1,20
6,3,0,20
13,13,1,20
9,9,1,20
13,13,1,20
14,7,0,20
12,12,1,20
2,2,1,20
14,14,1,20
4,4,1,20
2,2,1,20
3,3,1,20
8,8,1,20
8,8,1,20
12,12,1,20
0,0,1,20
9,9,1,20
10,10,1,20
13,13,1,20
7,7,1,20
0,0,1,20
8,8,1,20
2,2,1,20
9,9,1,20
12,12,1,20
3,3,1,20
11,11,1,20
2,2,1,20
2,2,1,20
3,3,1,20
14,14,1,20
4,4,1,20
8,8,1,20
0,1,0,20
13,13,1,20
10,10,1,20
7,7,1,20
10,10,1,20
12,12,1,20
8,8,1,20
5,5,1,20
2,2,1,20
9,9,1,20
9,9,1,20
6,9,0,20
8,8,1,20
9,9,1,20
13,13,1,20
11,11,1,20
8,8,1,20
14,14,1,20
0,0,1,20
8,8,1,20
11,11,1,20
4,4,1,20
0,0,1,20
7,7,1,20
11,11,1,20
12,12,1,20
14,7,0,20
9,9,1,20
8,8,1,20
6,10,0,20
9,9,1,20
13,2,0,20
13,13,1,20
1,1,1,20
11,11,1,20
8,8,1,20
0,0,1,20
1,1,1,20
9,9,1,20
9,9,1,20
10,10,1,20
4,4,1,20
8,8,1,20
4,4,1,20
6,10,0,20
2,2,1,20
8,8,1,20
0,0,1,20
6,6,1,20
7,7,1,20
5,5,1,20
4,4,1,20
4,4,1,20
12,12,1,20
12,12,1,20
7,7,1,20
2,2,1,20
12,12,1,20
14,14,1,20
7,7,1,20
10,10,1,20
14,14,1,20
9,9,1,20
8,8,1,20
3,9,0,20
12,12,1,20
1,1,1,20
1,1,1,20
1,1,1,20
6,6,1,20
5,8,0,20
4,4,1,20
13,13,1,20
4,4,1,20
8,8,1,20
9,9,1,20
7,7,1,20
3,3,1,20
2,9,0,20
5,5,1,20
1,1,1,20
6,6,1,20
5,5,1,20
9,9,1,20
7,7,1,20
4,4,1,20
14,14,1,20
1,1,1,20
10,10,1,20
11,11,1,20
9,9,1,20
3,3,1,20
7,7,1,20
8,8,1,20
10,10,1,20
0,9,0,20
14,14,1,20
9,9,1,20
6,6,1,20
12,12,1,20
4,4,1,20
8,8,1,20
3,3,1,20
13,13,1,20
10,10,1,20
3,3,1,20
12,12,1,20
4,4,1,20
14,14,1,20
12,12,1,20
4,4,1,20
5,5,1,20
9,9,1,20
11,11,1,20
12,12,1,20
7,7,1,20
3,3,1,20
0,9,0,20
1,1,1,20
10,10,1,20
13,13,1,20
1,1,1,20
14,14,1,20
4,4,1,20
4,4,1,20
12,12,1,20
7,7,1,20
4,4,1,20
12,12,1,20
5,5,1,20
12,12,1,20
1,1,1,20
1,1,1,20
7,7,1,20
10,10,1,20
14,14,1,20
8,8,1,20
4,4,1,20
14,14,1,20
1,1,1,20
7,7,1,20
0,0,1,20
11,11,1,20
9,9,1,20
10,10,1,20
0,0,1,20
8,8,1,20
10,10,1,20
5,5,1,20
4,4,1,20
9,9,1,20
5,5,1,20
9,9,1,20
7,7,1,20
9,9,1,20
6,10,0,20
7,7,1,20
2,2,1,20
7,7,1,20
9,9,1,20
10,10,1,20
2,2,1,20
0,0,1,20
5,5,1,20
8,8,1,20
13,13,1,20
5,12,0,20
3,3,1,20
9,9,1,20
1,1,1,20
7,7,1,20
12,12,1,20
3,3,1,20
1,1,1,20
10,10,1,20
9,9,1,20
10,10,1,20
11,11,1,20
7,7,1,20
5,5,1,20
10,10,1,20
4,4,1,20
6,10,0,20
12,12,1,20
13,11,0,20
9,9,1,20
8,8,1,20
1,1,1,20
13,13,1,20
10,10,1,20
5,5,1,20
10,10,1,20
7,7,1,20
8,8,1,20
11,11,1,20
10,10,1,20
12,12,1,20
4,4,1,20
11,11,1,20
13,13,1,20
7,7,1,20
0,1,0,20
6,9,0,20
13,13,1,20
0,0,1,20
5,5,1,20
11,11,1,20
4,4,1,20
6,7,0,20
10,10,1,20
14,14,1,20
14,14,1,20
9,9,1,20
3,12,0,20
9,9,1,20
10,10,1,20
11,11,1,20
8,8,1,20
10,10,1,20
10,10,1,20
4,4,1,20
11,11,1,20
4,4,1,20
5,5,1,20
11,11,1,20
3,3,1,20
0,0,1,20
10,10,1,20
12,12,1,20
3,3,1,20
9,9,1,20
3,3,1,20
13,13,1,20
12,12,1,20
11,11,1,20
8,8,1,20
11,11,1,20
6,6,1,20
12,12,1,20
12,12,1,20
0,0,1,20
4,4,1,20
7,7,1,20
10,10,1,20
13,13,1,20
9,9,1,20
6,6,1,20
14,9,0,20
13,13,1,20
9,9,1,20
10,10,1,20
3,3,1,20
4,4,1,20
9,9,1,20
13,13,1,20
11,11,1,20
12,12,1,20
3,3,1,20
10,10,1,20
11,11,1,20
13,13,1,20
10,10,1,20
4,4,1,20
3,3,1,20
12,12,1,20
13,13,1,20
7,7,1,20
9,9,1,20
2,2,1,20
3,3,1,20
5,5,1,20
6,10,0,20
0,0,1,20
14,14,1,20
6,12,0,20
10,10,1,20
8,8,1,20
0,0,1,20
11,11,1,20
10,10,1,20
14,14,1,20
6,6,1,20
14,14,1,20
9,9,1,20
14,14,1,20
1,1,1,20
1,1,1,20
2,2,1,20
0,0,1,20
7,7,1,20
9,9,1,20
3,12,0,20
4,4,1,20
5,5,1,20
0,0,1,20
0,0,1,20
6,6,1,20
7,7,1,20
8,8,1,20
2,2,1,20
3,3,1,20
0,0,1,20
2,2,1,20
6,12,0,20
8,8,1,20
5,5,1,20
4,4,1,20
8,8,1,20
3,3,1,20
10,10,1,20
8,8,1,20
6,6,1,20
8,8,1,20
9,9,1,20
13,13,1,20
0,0,1,20
13,13,1,20
7,7,1,20
5,5,1,20
11,11,1,20
7,7,1,20
3,3,1,20
1,1,1,20
4,4,1,20
12,12,1,20
3,9,0,20
13,13,1,20
14,14,1,20
6,6,1,20
14,14,1,20
5,5,1,20
6,6,1,20
12,12,1,20
1,1,1,20
7,7,1,20
9,9,1,20
13,13,1,20
4,4,1,20
1,1,1,20
6,7,0,20
1,1,1,20
4,4,1,20
8,8,1,20
12,12,1,20
9,9,1,20
3,3,1,20
13,13,1,20
7,7,1,20
1,1,1,20
7,7,1,20
12,12,1,20
12,12,1,20
7,7,1,20
5,5,1,20
2,2,1,20
13,9,0,20
14,14,1,20
12,12,1,20
7,7,1,20
2,2,1,20
11,11,1,20
12,12,1,20
7,7,1,20
7,7,1,20
13,13,1,20
4,4,1,20
8,8,1,20
1,1,1,20
5,5,1,20
0,0,1,20
12,12,1,20
13,13,1,20
4,4,1,20
12,12,1,20
5,5,1,20
3,3,1,20
5,5,1,20
11,11,1,20
13,2,0,20
9,9,1,20
7,7,1,20
12,12,1,20
8,8,1,20
0,9,0,20
12,12,1,20
12,12,1,20
9,9,1,20
5,5,1,20
10,10,1,20
11,11,1,20
0,9,0,20
2,2,1,20
10,10,1,20
1,1,1,20
7,7,1,20
14,14,1,20
3,3,1,20
8,8,1,20
6,10,0,20
13,13,1,20
9,9,1,20
9,9,1,20
0,0,1,20
8,8,1,20
12,12,1,20
14,14,1,20
1,1,1,20
8,8,1,20
12,12,1,20
3,12,0,20
9,9,1,20
6,6,1,20
7,7,1,20
11,11,1,20
10,9,0,20
6,6,1,20
11,11,1,20
9,9,1,20
5,5,1,20
12,12,1,20
13,13,1,20
8,8,1,20
6,6,1,20
0,0,1,20
12,12,1,20
11,11,1,20
5,5,1,20
3,9,0,20
10,10,1,20
12,12,1,20
6,9,0,20
7,7,1,20
10,10,1,20
14,14,1,20
8,8,1,20
2,2,1,20
6,6,1,20
5,5,1,20
3,3,1,20
1,1,1,20
8,8,1,20
5,5,1,20
10,10,1,20
11,11,1,20
0,0,1,20
8,8,1,20
3,3,1,20
5,5,1,20
13,13,1,20
11,11,1,20
2,2,1,20
0,0,1,20
12,12,1,20
11,11,1,20
4,4,1,20
0,0,1,20
0,0,1,20
6,10,0,20
6,10,0,20
2,2,1,20
12,12,1,20
6,6,1,20
8,8,1,20
2,2,1,20
3,3,1,20
8,8,1,20
9,9,1,20
13,13,1,20
4,4,1,20
2,2,1,20
5,8,0,20
3,3,1,20
9,9,1,20
6,7,0,20
5,12,0,20
7,7,1,20
7,7,1,20
14,14,1,20
8,8,1,20
2,2,1,20
13,13,1,20
1,1,1,20
2,2,1,20
14,14,1,20
6,10,0,20
6,6,1,20
2,9,0,20
10,10,1,20
11,11,1,20
10,10,1,20
1,1,1,20
0,0,1,20
1,1,1,20
4,4,1,20
4,4,1,20
10,10,1,20
8,8,1,20
11,11,1,20
13,11,0,20
14,8,0,20
7,7,1,20
