t,p,tf,noise_percentage
9,9,1,20
10,9,0,20
13,13,1,20
9,9,1,20
14,14,1,20
12,12,1,20
4,4,1,20
3,3,1,20
4,4,1,20
5,5,1,20
8,8,1,20
0,0,1,20
3,3,1,20
5,1,0,20
0,0,1,20
4,4,1,20
5,1,0,20
5,5,1,20
12,12,1,20
0,0,1,20
13,13,1,20
14,14,1,20
0,0,1,20
6,11,0,20
5,1,0,20
6,0,0,20
13,13,1,20
6,14,0,20
9,9,1,20
10,10,1,20
11,12,0,20
0,0,1,20
0,0,1,20
9,9,1,20
10,10,1,20
11,11,1,20
3,3,1,20
7,7,1,20
11,11,1,20
10,9,0,20
14,14,1,20
7,7,1,20
10,10,1,20
7,11,0,20
14,14,1,20
14,14,1,20
9,9,1,20
11,11,1,20
11,11,1,20
2,2,1,20
11,11,1,20
10,10,1,20
8,1,0,20
12,12,1,20
6,9,0,20
8,4,0,20
12,12,1,20
3,3,1,20
8,1,0,20
4,4,1,20
14,14,1,20
2,9,0,20
3,9,0,20
0,0,1,20
7,7,1,20
4,4,1,20
5,12,0,20
7,7,1,20
8,4,0,20
6,12,0,20
2,2,1,20
2,2,1,20
14,14,1,20
14,14,1,20
5,1,0,20
1,1,1,20
4,4,1,20
1,1,1,20
4,4,1,20
14,14,1,20
3,3,1,20
10,9,0,20
11,11,1,20
2,2,1,20
12,12,1,20
11,11,1,20
6,14,0,20
13,13,1,20
12,12,1,20
2,2,1,20
14,14,1,20
3,3,1,20
9,9,1,20
11,11,1,20
14,14,1,20
4,4,1,20
3,3,1,20
8,1,0,20
12,12,1,20
14,2,0,20
5,12,0,20
11,12,0,20
7,7,1,20
10,4,0,20
3,9,0,20
1,1,1,20
8,8,1,20
5,1,0,20
7,7,1,20
9,9,1,20
2,2,1,20
5,1,0,20
9,9,1,20
9,9,1,20
8,4,0,20
1,1,1,20
9,9,1,20
13,13,1,20
8,1,0,20
8,1,0,20
13,13,1,20
0,0,1,20
0,0,1,20
10,9,0,20
6,11,0,20
13,13,1,20
3,3,1,20
1,1,1,20
1,1,1,20
1,1,1,20
7,7,1,20
8,4,0,20
5,1,0,20
11,11,1,20
7,7,1,20
4,4,1,20
11,11,1,20
5,12,0,20
4,4,1,20
13,0,0,20
0,0,1,20
2,9,0,20
8,4,0,20
3,9,0,20
8,4,0,20
9,9,1,20
6,6,1,20
9,9,1,20
8,8,1,20
11,11,1,20
1,1,1,20
0,0,1,20
13,7,0,20
11,11,1,20
8,4,0,20
4,4,1,20
1,1,1,20
10,10,1,20
2,2,1,20
3,9,0,20
6,14,0,20
11,11,1,20
12,12,1,20
14,14,1,20
11,11,1,20
8,1,0,20
7,7,1,20
8,4,0,20
10,10,1,20
7,7,1,20
13,13,1,20
8,1,0,20
12,12,1,20
14,14,1,20
6,11,0,20
10,10,1,20
6,6,1,20
0,0,1,20
11,11,1,20
0,0,1,20
2,9,0,20
1,1,1,20
9,9,1,20
3,3,1,20
1,1,1,20
8,8,1,20
7,7,1,20
13,13,1,20
6,6,1,20
1,1,1,20
8,4,0,20
14,14,1,20
13,13,1,20
6,10,0,20
4,4,1,20
6,9,0,20
6,14,0,20
8,1,0,20
2,2,1,20
0,0,1,20
6,10,0,20
3,3,1,20
12,12,1,20
11,11,1,20
1,1,1,20
9,9,1,20
8,4,0,20
14,14,1,20
1,1,1,20
10,10,1,20
3,9,0,20
13,13,1,20
4,4,1,20
7,7,1,20
9,9,1,20
5,1,0,20
5,1,0,20
6,14,0,20
13,13,1,20
14,14,1,20
8,8,1,20
1,1,1,20
6,14,0,20
13,13,1,20
2,2,1,20
5,1,0,20
2,9,0,20
0,0,1,20
1,1,1,20
3,3,1,20
3,3,1,20
0,0,1,20
11,11,1,20
6,10,0,20
2,2,1,20
1,1,1,20
1,1,1,20
3,9,0,20
2,2,1,20
13,13,1,20
9,9,1,20
5,1,0,20
11,11,1,20
6,14,0,20
11,11,1,20
3,3,1,20
0,0,1,20
9,9,1,20
9,9,1,20
7,7,1,20
1,1,1,20
10,10,1,20
0,0,1,20
14,14,1,20
13,13,1,20
2,9,0,20
11,4,0,20
8,8,1,20
13,13,1,20
13,0,0,20
12,12,1,20
4,4,1,20
11,11,1,20
13,12,0,20
0,0,1,20
10,10,1,20
1,1,1,20
7,7,1,20
12,12,1,20
2,2,1,20
8,12,0,20
2,2,1,20
14,14,1,20
2,2,1,20
4,4,1,20
6,6,1,20
14,14,1,20
14,14,1,20
3,9,0,20
2,9,0,20
3,9,0,20
1,1,1,20
14,14,1,20
14,14,1,20
12,12,1,20
6,10,0,20
0,0,1,20
3,3,1,20
10,10,1,20
3,1,0,20
12,12,1,20
12,12,1,20
8,8,1,20
8,8,1,20
13,13,1,20
14,14,1,20
12,12,1,20
12,12,1,20
10,9,0,20
0,0,1,20
5,1,0,20
0,0,1,20
11,11,1,20
6,9,0,20
8,4,0,20
9,9,1,20
4,4,1,20
5,1,0,20
4,4,1,20
12,12,1,20
9,9,1,20
5,1,0,20
11,11,1,20
8,1,0,20
6,6,1,20
12,12,1,20
9,9,1,20
8,8,1,20
9,9,1,20
12,12,1,20
10,10,1,20
6,11,0,20
12,12,1,20
11,11,1,20
7,7,1,20
13,0,0,20
11,11,1,20
7,7,1,20
12,12,1,20
9,1,0,20
11,12,0,20
6,6,1,20
11,11,1,20
7,7,1,20
10,10,1,20
9,9,1,20
14,14,1,20
12,12,1,20
8,4,0,20
0,0,1,20
5,12,0,20
0,0,1,20
8,1,0,20
6,4,0,20
2,2,1,20
12,12,1,20
1,1,1,20
1,1,1,20
11,11,1,20
0,0,1,20
11,11,1,20
2,2,1,20
10,10,1,20
6,12,0,20
14,14,1,20
11,11,1,20
8,8,1,20
4,4,1,20
14,0,0,20
3,3,1,20
4,4,1,20
3,9,0,20
4,4,1,20
13,4,0,20
12,12,1,20
11,12,0,20
11,11,1,20
10,10,1,20
9,9,1,20
10,1,0,20
10,10,1,20
2,2,1,20
7,7,1,20
2,9,0,20
5,12,0,20
10,9,0,20
1,12,0,20
13,13,1,20
11,11,1,20
11,11,1,20
5,1,0,20
7,7,1,20
2,2,1,20
14,14,1,20
7,7,1,20
8,8,1,20
1,1,1,20
8,8,1,20
1,1,1,20
4,4,1,20
0,0,1,20
10,10,1,20
5,12,0,20
8,1,0,20
0,0,1,20
6,14,0,20
8,4,0,20
13,13,1,20
3,3,1,20
14,14,1,20
3,3,1,20
2,2,1,20
14,14,1,20
1,1,1,20
12,12,1,20
12,12,1,20
3,9,0,20
13,0,0,20
8,4,0,20
13,13,1,20
4,4,1,20
9,9,1,20
9,9,1,20
4,4,1,20
2,2,1,20
0,0,1,20
3,9,0,20
14,14,1,20
5,1,0,20
14,14,1,20
3,3,1,20
11,11,1,20
9,9,1,20
13,13,1,20
5,5,1,20
2,2,1,20
2,2,1,20
10,10,1,20
5,1,0,20
13,13,1,20
11,4,0,20
12,12,1,20
13,12,0,20
13,0,0,20
4,1,0,20
4,4,1,20
2,2,1,20
14,14,1,20
2,4,0,20
4,4,1,20
8,8,1,20
1,1,1,20
6,6,1,20
9,9,1,20
10,10,1,20
10,4,0,20
9,9,1,20
2,2,1,20
7,7,1,20
14,14,1,20
13,13,1,20
8,8,1,20
4,4,1,20
6,3,0,20
12,12,1,20
1,1,1,20
5,1,0,20
2,2,1,20
8,8,1,20
14,14,1,20
8,1,0,20
12,12,1,20
3,9,0,20
1,1,1,20
0,0,1,20
7,7,1,20
3,3,1,20
5,1,0,20
9,9,1,20
13,0,0,20
14,14,1,20
3,12,0,20
4,4,1,20
4,0,0,20
2,2,1,20
5,1,0,20
12,12,1,20
7,7,1,20
12,12,1,20
14,14,1,20
9,9,1,20
9,9,1,20
4,4,1,20
14,14,1,20
10,10,1,20
1,1,1,20
14,14,1,20
5,1,0,20
2,2,1,20
12,12,1,20
11,11,1,20
12,12,1,20
2,9,0,20
1,1,1,20
6,11,0,20
12,12,1,20
11,11,1,20
0,0,1,20
7,7,1,20
0,0,1,20
2,2,1,20
12,12,1,20
14,14,1,20
5,5,1,20
5,1,0,20
12,12,1,20
5,12,0,20
0,0,1,20
2,9,0,20
11,11,1,20
2,2,1,20
8,4,0,20
3,1,0,20
13,0,0,20
3,3,1,20
11,11,1,20
10,10,1,20
8,8,1,20
0,0,1,20
3,9,0,20
0,0,1,20
12,12,1,20
13,13,1,20
5,1,0,20
3,3,1,20
2,2,1,20
4,4,1,20
6,14,0,20
3,3,1,20
11,11,1,20
4,4,1,20
5,1,0,20
14,14,1,20
4,4,1,20
2,2,1,20
9,9,1,20
0,0,1,20
7,7,1,20
2,2,1,20
6,11,0,20
2,2,1,20
14,14,1,20
6,14,0,20
2,2,1,20
2,2,1,20
7,7,1,20
9,9,1,20
11,1,0,20
7,7,1,20
13,13,1,20
11,11,1,20
12,12,1,20
7,7,1,20
5,12,0,20
2,9,0,20
13,13,1,20
7,7,1,20
11,12,0,20
2,9,0,20
5,1,0,20
8,1,0,20
1,1,1,20
6,11,0,20
1,1,1,20
10,10,1,20
5,1,0,20
4,4,1,20
9,9,1,20
13,13,1,20
13,13,1,20
1,1,1,20
12,12,1,20
14,3,0,20
4,4,1,20
0,1,0,20
7,7,1,20
10,4,0,20
10,10,1,20
9,9,1,20
14,14,1,20
13,13,1,20
12,12,1,20
7,7,1,20
13,0,0,20
5,12,0,20
0,0,1,20
3,1,0,20
5,1,0,20
5,1,0,20
1,1,1,20
5,5,1,20
0,4,0,20
8,1,0,20
13,13,1,20
7,7,1,20
0,0,1,20
3,3,1,20
4,4,1,20
0,0,1,20
12,12,1,20
7,7,1,20
4,4,1,20
7,7,1,20
9,9,1,20
13,13,1,20
2,9,0,20
0,0,1,20
8,8,1,20
12,12,1,20
11,11,1,20
10,9,0,20
10,4,0,20
9,9,1,20
10,10,1,20
2,2,1,20
1,1,1,20
5,1,0,20
8,4,0,20
3,3,1,20
3,3,1,20
2,9,0,20
9,0,0,20
2,2,1,20
13,13,1,20
5,12,0,20
13,0,0,20
6,11,0,20
12,12,1,20
0,0,1,20
1,1,1,20
0,0,1,20
8,1,0,20
4,4,1,20
5,1,0,20
9,9,1,20
10,10,1,20
2,9,0,20
3,9,0,20
6,3,0,20
12,12,1,20
3,9,0,20
7,7,1,20
5,12,0,20
13,13,1,20
10,9,0,20
8,8,1,20
11,12,0,20
1,1,1,20
5,1,0,20
7,7,1,20
3,3,1,20
2,2,1,20
10,9,0,20
0,0,1,20
0,0,1,20
10,10,1,20
10,10,1,20
7,7,1,20
1,1,1,20
12,12,1,20
4,4,1,20
5,1,0,20
14,14,1,20
0,0,1,20
1,1,1,20
13,11,0,20
5,1,0,20
8,8,1,20
13,0,0,20
13,13,1,20
8,8,1,20
11,11,1,20
9,9,1,20
2,2,1,20
12,12,1,20
11,11,1,20
4,4,1,20
6,14,0,20
7,7,1,20
4,4,1,20
4,4,1,20
2,2,1,20
10,10,1,20
3,3,1,20
10,10,1,20
1,1,1,20
14,14,1,20
2,0,0,20
0,0,1,20
11,11,1,20
8,4,0,20
12,12,1,20
10,10,1,20
1,1,1,20
8,1,0,20
0,0,1,20
9,9,1,20
10,10,1,20
5,1,0,20
12,12,1,20
5,12,0,20
0,0,1,20
2,2,1,20
13,0,0,20
0,0,1,20
13,11,0,20
11,11,1,20
3,9,0,20
1,1,1,20
3,9,0,20
11,11,1,20
1,1,1,20
1,1,1,20
10,10,1,20
0,0,1,20
1,1,1,20
12,12,1,20
0,0,1,20
11,11,1,20
7,7,1,20
11,11,1,20
2,2,1,20
14,3,0,20
9,9,1,20
13,13,1,20
2,2,1,20
10,9,0,20
4,4,1,20
6,11,0,20
14,14,1,20
4,4,1,20
11,11,1,20
8,1,0,20
2,2,1,20
13,13,1,20
7,7,1,20
11,11,1,20
6,14,0,20
13,4,0,20
7,7,1,20
11,11,1,20
11,12,0,20
11,11,1,20
4,4,1,20
1,1,1,20
14,14,1,20
9,9,1,20
1,1,1,20
12,12,1,20
8,1,0,20
9,9,1,20
2,2,1,20
2,2,1,20
14,14,1,20
10,10,1,20
5,12,0,20
3,9,0,20
9,9,1,20
8,8,1,20
12,12,1,20
1,1,1,20
13,0,0,20
14,14,1,20
10,10,1,20
3,1,0,20
13,13,1,20
3,3,1,20
12,12,1,20
2,2,1,20
7,11,0,20
0,0,1,20
3,3,1,20
1,1,1,20
7,7,1,20
13,0,0,20
2,2,1,20
3,3,1,20
11,11,1,20
7,7,1,20
14,14,1,20
11,11,1,20
11,11,1,20
7,7,1,20
7,7,1,20
3,12,0,20
10,10,1,20
0,0,1,20
6,14,0,20
1,1,1,20
3,3,1,20
12,12,1,20
2,2,1,20
11,11,1,20
5,5,1,20
10,10,1,20
14,14,1,20
13,0,0,20
0,0,1,20
13,13,1,20
6,9,0,20
10,10,1,20
1,1,1,20
14,14,1,20
7,7,1,20
6,3,0,20
13,0,0,20
9,9,1,20
13,0,0,20
14,14,1,20
12,12,1,20
2,9,0,20
14,14,1,20
4,4,1,20
2,9,0,20
3,9,0,20
8,1,0,20
8,1,0,20
12,12,1,20
0,0,1,20
9,9,1,20
10,10,1,20
13,13,1,20
7,7,1,20
0,0,1,20
8,4,0,20
2,9,0,20
9,9,1,20
12,12,1,20
3,3,1,20
11,11,1,20
2,2,1,20
2,9,0,20
3,3,1,20
14,14,1,20
4,4,1,20
8,8,1,20
0,0,1,20
13,13,1,20
10,10,1,20
7,7,1,20
10,10,1,20
12,12,1,20
8,4,0,20
5,12,0,20
2,2,1,20
9,9,1,20
9,9,1,20
6,14,0,20
8,1,0,20
9,9,1,20
13,13,1,20
11,11,1,20
8,1,0,20
14,14,1,20
0,0,1,20
8,8,1,20
11,12,0,20
4,4,1,20
0,0,1,20
7,7,1,20
11,11,1,20
12,12,1,20
14,14,1,20
9,9,1,20
8,4,0,20
6,14,0,20
9,9,1,20
13,13,1,20
13,13,1,20
1,1,1,20
11,1,0,20
8,8,1,20
0,0,1,20
1,1,1,20
9,9,1,20
9,9,1,20
10,10,1,20
4,4,1,20
8,4,0,20
4,4,1,20
6,14,0,20
2,2,1,20
8,8,1,20
0,0,1,20
6,10,0,20
7,7,1,20
5,1,0,20
4,4,1,20
4,4,1,20
12,12,1,20
12,12,1,20
7,7,1,20
2,9,0,20
12,12,1,20
14,14,1,20
7,7,1,20
10,10,1,20
14,1,0,20
9,9,1,20
8,4,0,20
3,9,0,20
12,12,1,20
1,1,1,20
1,1,1,20
1,1,1,20
6,6,1,20
5,1,0,20
4,4,1,20
13,13,1,20
4,4,1,20
8,1,0,20
9,9,1,20
7,7,1,20
3,3,1,20
2,9,0,20
5,12,0,20
1,1,1,20
6,6,1,20
5,12,0,20
9,9,1,20
7,7,1,20
4,4,1,20
14,14,1,20
1,1,1,20
10,10,1,20
11,11,1,20
9,9,1,20
3,9,0,20
7,7,1,20
8,1,0,20
10,10,1,20
0,0,1,20
14,14,1,20
9,9,1,20
6,14,0,20
12,12,1,20
4,4,1,20
8,8,1,20
3,9,0,20
13,13,1,20
10,10,1,20
3,3,1,20
12,12,1,20
4,4,1,20
14,14,1,20
12,12,1,20
4,4,1,20
5,12,0,20
9,9,1,20
11,11,1,20
12,12,1,20
7,7,1,20
3,3,1,20
0,0,1,20
1,1,1,20
10,9,0,20
13,0,0,20
1,1,1,20
14,14,1,20
4,4,1,20
4,4,1,20
12,12,1,20
7,11,0,20
4,4,1,20
12,12,1,20
5,5,1,20
12,12,1,20
1,1,1,20
1,1,1,20
7,7,1,20
10,9,0,20
14,14,1,20
8,8,1,20
4,4,1,20
14,14,1,20
1,1,1,20
7,7,1,20
0,0,1,20
11,12,0,20
9,9,1,20
10,10,1,20
0,0,1,20
8,4,0,20
10,10,1,20
5,1,0,20
4,4,1,20
9,9,1,20
5,1,0,20
9,9,1,20
7,7,1,20
9,9,1,20
6,6,1,20
7,7,1,20
2,2,1,20
7,7,1,20
9,9,1,20
10,10,1,20
2,9,0,20
0,0,1,20
5,1,0,20
8,8,1,20
13,13,1,20
5,5,1,20
3,3,1,20
9,9,1,20
1,1,1,20
7,7,1,20
12,12,1,20
3,3,1,20
1,1,1,20
10,10,1,20
9,9,1,20
10,10,1,20
11,11,1,20
7,7,1,20
5,1,0,20
10,10,1,20
4,4,1,20
6,14,0,20
12,12,1,20
13,12,0,20
9,9,1,20
8,1,0,20
1,1,1,20
13,13,1,20
10,10,1,20
5,12,0,20
10,10,1,20
7,7,1,20
8,4,0,20
11,11,1,20
10,10,1,20
12,12,1,20
4,4,1,20
11,11,1,20
13,0,0,20
7,7,1,20
0,0,1,20
6,14,0,20
13,4,0,20
0,0,1,20
5,1,0,20
11,12,0,20
4,4,1,20
6,14,0,20
10,10,1,20
14,14,1,20
14,14,1,20
9,9,1,20
3,3,1,20
9,9,1,20
10,10,1,20
11,12,0,20
8,8,1,20
10,10,1,20
10,10,1,20
4,4,1,20
11,11,1,20
4,4,1,20
5,12,0,20
11,11,1,20
3,3,1,20
0,0,1,20
10,10,1,20
12,12,1,20
3,3,1,20
9,9,1,20
3,3,1,20
13,11,0,20
12,12,1,20
11,11,1,20
8,8,1,20
11,11,1,20
6,10,0,20
12,12,1,20
12,12,1,20
0,0,1,20
4,4,1,20
7,7,1,20
10,10,1,20
13,13,1,20
9,9,1,20
6,6,1,20
14,2,0,20
13,13,1,20
9,9,1,20
10,10,1,20
3,9,0,20
4,4,1,20
9,9,1,20
13,13,1,20
11,11,1,20
12,12,1,20
3,3,1,20
10,10,1,20
11,11,1,20
13,13,1,20
10,10,1,20
4,4,1,20
3,3,1,20
12,12,1,20
13,0,0,20
7,7,1,20
9,9,1,20
2,2,1,20
3,3,1,20
5,1,0,20
6,4,0,20
0,0,1,20
14,14,1,20
6,11,0,20
10,10,1,20
8,8,1,20
0,0,1,20
11,12,0,20
10,10,1,20
14,14,1,20
6,14,0,20
14,14,1,20
9,9,1,20
14,14,1,20
1,1,1,20
1,1,1,20
2,2,1,20
0,0,1,20
7,7,1,20
9,9,1,20
3,12,0,20
4,4,1,20
5,1,0,20
0,0,1,20
0,0,1,20
6,6,1,20
7,7,1,20
8,1,0,20
2,9,0,20
3,3,1,20
0,0,1,20
2,2,1,20
6,6,1,20
8,4,0,20
5,12,0,20
4,4,1,20
8,1,0,20
3,3,1,20
10,10,1,20
8,8,1,20
6,3,0,20
8,8,1,20
9,9,1,20
13,13,1,20
0,0,1,20
13,14,0,20
7,7,1,20
5,12,0,20
11,1,0,20
7,7,1,20
3,3,1,20
1,1,1,20
4,4,1,20
12,12,1,20
3,3,1,20
13,13,1,20
14,14,1,20
6,14,0,20
14,14,1,20
5,1,0,20
6,14,0,20
12,12,1,20
1,1,1,20
7,7,1,20
9,9,1,20
13,13,1,20
4,4,1,20
1,1,1,20
6,11,0,20
1,1,1,20
4,4,1,20
8,1,0,20
12,12,1,20
9,9,1,20
3,1,0,20
13,1,0,20
7,9,0,20
1,1,1,20
7,9,0,20
12,12,1,20
12,12,1,20
7,7,1,20
5,12,0,20
2,2,1,20
13,12,0,20
14,14,1,20
12,12,1,20
7,7,1,20
2,2,1,20
11,11,1,20
12,12,1,20
7,7,1,20
7,7,1,20
13,0,0,20
4,4,1,20
8,1,0,20
1,1,1,20
5,12,0,20
0,0,1,20
12,12,1,20
13,4,0,20
4,4,1,20
12,12,1,20
5,1,0,20
3,3,1,20
5,1,0,20
11,11,1,20
13,13,1,20
9,9,1,20
7,7,1,20
12,12,1,20
8,1,0,20
0,0,1,20
12,12,1,20
12,12,1,20
9,9,1,20
5,5,1,20
10,10,1,20
11,11,1,20
0,0,1,20
2,2,1,20
10,9,0,20
1,1,1,20
7,7,1,20
14,14,1,20
3,9,0,20
8,1,0,20
6,9,0,20
13,13,1,20
9,9,1,20
9,9,1,20
0,0,1,20
8,1,0,20
12,12,1,20
14,14,1,20
1,1,1,20
8,1,0,20
12,12,1,20
3,12,0,20
9,9,1,20
6,6,1,20
7,7,1,20
11,11,1,20
10,9,0,20
6,14,0,20
11,12,0,20
9,9,1,20
5,12,0,20
12,12,1,20
13,13,1,20
8,4,0,20
6,12,0,20
0,0,1,20
12,12,1,20
11,11,1,20
5,12,0,20
3,9,0,20
10,10,1,20
12,12,1,20
6,0,0,20
7,7,1,20
10,9,0,20
14,14,1,20
8,1,0,20
2,2,1,20
6,14,0,20
5,1,0,20
3,3,1,20
1,1,1,20
8,1,0,20
5,1,0,20
10,9,0,20
11,11,1,20
0,0,1,20
8,4,0,20
3,3,1,20
5,1,0,20
13,1,0,20
11,11,1,20
2,2,1,20
0,0,1,20
12,12,1,20
11,11,1,20
4,4,1,20
0,0,1,20
0,0,1,20
6,6,1,20
6,14,0,20
2,2,1,20
12,12,1,20
6,6,1,20
8,4,0,20
2,2,1,20
3,3,1,20
8,1,0,20
9,9,1,20
13,13,1,20
4,4,1,20
2,2,1,20
5,12,0,20
3,9,0,20
9,9,1,20
6,11,0,20
5,1,0,20
7,11,0,20
7,7,1,20
14,14,1,20
8,8,1,20
2,2,1,20
13,13,1,20
1,1,1,20
2,2,1,20
14,3,0,20
6,14,0,20
6,14,0,20
2,9,0,20
10,10,1,20
11,11,1,20
10,10,1,20
1,1,1,20
0,0,1,20
1,1,1,20
4,4,1,20
4,4,1,20
10,10,1,20
8,4,0,20
11,11,1,20
13,0,0,20
14,14,1,20
7,7,1,20
